Original,ParkDatabase,8b03a13327f2197a1c9b5eefb95b44ce,5fea5a260f73f39a3437a15894e7d6765c37d78d,eccf7229a28cc2678ead50dae8f5b4bf919a03826e8557cd8fd11a4d3ab186ce,fffde8c1e5600000,e3e994e5b5acc091,4659d98bcbcb9639,fffdf9e1e5600000,01380001000,9eb639326a3236b2,4c5455a72524c54b,eb37c7f3b97939b9,3c64e8a2c6888ea4,5ac97eb8ec92d263,94b2307939b8b1f9,4659d98bcbcb9639,0e9e1e4e4fc7a783,713317c6db3574f0,Original,0,0,0,0,0,0
Alternative (1).png,ParkDatabase,50bc149eb583e1259273d2eb6bd5af4f,37e8b6556357e2ab3b9948c9b4a775f083cf58b9,f924037cee44688d5baef599095847c8c8940f880ec9be6bd48f67da228f52c1,fffde8c1e5600000,e3e994e5b5acc091,4659d98bcbcb9639,fffdf9e1e5600000,01380002000,9eb631326a3236b2,5c5525c5476ee6e6,3c64e8a2c68c86a4,9432307939b9b9f9,4659d98bcbcb9639,2c0d1e968f8f27a3,713317ce9b3574f0,################,################,Alternative (1).png,0,0,0,0,1,13.777777777777779
Original,ParkDatabase,8b03a13327f2197a1c9b5eefb95b44ce,5fea5a260f73f39a3437a15894e7d6765c37d78d,eccf7229a28cc2678ead50dae8f5b4bf919a03826e8557cd8fd11a4d3ab186ce,fffde8c1e5600000,e3e994e5b5acc091,4659d98bcbcb9639,fffdf9e1e5600000,01380001000,9eb639326a3236b2,4c5455a72524c54b,eb37c7f3b97939b9,3c64e8a2c6888ea4,5ac97eb8ec92d263,94b2307939b8b1f9,4659d98bcbcb9639,0e9e1e4e4fc7a783,713317c6db3574f0,Original,0,0,0,0,0,0
Alternative (2).png,ParkDatabase,7866db0c95e7071ab2036ea2a267e71a,cc1a4258ccac083fac4eaf48c901a2256bda983e,9644576a4720911a52bcf2cb1304741a5f453efb2e12afd54bca55d5003512e9,fffde8c1e5600000,e3e994e5b5acc091,4659d98bcbcb9639,fffdf9e1e5600000,013c0001000,9eb631326a3236b2,b1c0a0b4e4d6d8c2,1c2ca94bcd8c8d93,eb37c7f3b97939b9,59c936b8ecb2d24b,9432307979b8b9f9,4659d98bcbcb9639,713317ce9a3474f0,171617662c0f3b7c,Alternative (2).png,0,0,0,0,1,9.444444444444445
Original,ParkDatabase,8b03a13327f2197a1c9b5eefb95b44ce,5fea5a260f73f39a3437a15894e7d6765c37d78d,eccf7229a28cc2678ead50dae8f5b4bf919a03826e8557cd8fd11a4d3ab186ce,fffde8c1e5600000,e3e994e5b5acc091,4659d98bcbcb9639,fffdf9e1e5600000,01380001000,9eb639326a3236b2,4c5455a72524c54b,eb37c7f3b97939b9,3c64e8a2c6888ea4,5ac97eb8ec92d263,94b2307939b8b1f9,4659d98bcbcb9639,0e9e1e4e4fc7a783,713317c6db3574f0,Original,0,0,0,0,0,0
Alternative (3).png,ParkDatabase,dadfab3961d6fbbdfa496275823056d6,14ea037b889d9a25801226fd2e2422c58ac6ad62,35433375fb83c2938978e4ea72db1973582204d2dc2e79009e43a9e61b57231b,fffde8c1e5600000,e3e994e5b5acc091,4659d98bcbcb9639,fffdf9e1e5600000,01380001000,9eb631326a3236b2,4c5455a72724c54b,eb37c7f3b97939b9,3c64e8a2c68886a4,5ac97eb8ec92d363,94b2307939b8b1f9,4659d98bcbcb9639,0c9e1e4e4fc7a783,713317c6db3474f0,Alternative (3).png,0,0,0,0,0,0.6666666666666666
Original,ParkDatabase,8b03a13327f2197a1c9b5eefb95b44ce,5fea5a260f73f39a3437a15894e7d6765c37d78d,eccf7229a28cc2678ead50dae8f5b4bf919a03826e8557cd8fd11a4d3ab186ce,fffde8c1e5600000,e3e994e5b5acc091,4659d98bcbcb9639,fffdf9e1e5600000,01380001000,9eb639326a3236b2,4c5455a72524c54b,eb37c7f3b97939b9,3c64e8a2c6888ea4,5ac97eb8ec92d263,94b2307939b8b1f9,4659d98bcbcb9639,0e9e1e4e4fc7a783,713317c6db3574f0,Original,0,0,0,0,0,0
Alternative (4).png,ParkDatabase,0e91219a00d30428fc02d2c933a267e4,4e33dd31c6d675ab5d535ebf9430475499e156ba,81fb3e670a8da97040bcec84793451bba79ca4e662363df4467a6fb892d630de,fffde8c1e5600000,e3e994e5b5acc091,4659d98bcbcb9e39,fffdf9e1e5600000,013c0001000,9eb639326a3236b2,4c5455a72524c54b,eb37c7f3b97939b9,3c64e8a2c688c4a4,5bc97eb8ec92d343,94b2307939b8b1f9,4659d98bcbcb9e39,0e9e1e0e0fc7a783,713317c6db3474f0,Alternative (4).png,0,0,1,0,1,1.0
Original,ParkDatabase,8b03a13327f2197a1c9b5eefb95b44ce,5fea5a260f73f39a3437a15894e7d6765c37d78d,eccf7229a28cc2678ead50dae8f5b4bf919a03826e8557cd8fd11a4d3ab186ce,fffde8c1e5600000,e3e994e5b5acc091,4659d98bcbcb9639,fffdf9e1e5600000,01380001000,9eb639326a3236b2,4c5455a72524c54b,eb37c7f3b97939b9,3c64e8a2c6888ea4,5ac97eb8ec92d263,94b2307939b8b1f9,4659d98bcbcb9639,0e9e1e4e4fc7a783,713317c6db3574f0,Original,0,0,0,0,0,0
Alternative (5).png,ParkDatabase,e712322fecde37b2a004c54e3dfcc48e,d2eb047e5c46fd3dceb8d0bb6605a4581e6d4733,98660f4d403df890dbc0d03d2abc05f781097ad33ffe5f9def230da774a8ce77,fffde8c1e5600000,e3e994e5b5acc091,4659d98bcbcb9e39,fffdf9e1e5600000,02380001000,9eb631326a3236b2,4c5455a72724c54b,e327c7f3b97939b9,3464e8d2e6888cb4,49c936e8ac925b63,94b0307939b8b1f8,4659d98bcbcb9e39,9e9e1ece4fc7e743,713317ce9a3174f0,Alternative (5).png,0,0,1,0,1,3.111111111111111
